,Id,Title,Content,Tag,User,Vote,Answer,View,Time,Link
0,74582073,How to filter array of objects with criteria with javascript,"We have array with objects : let store = [ { id: 1, name: store1, items: { pen: 0, apple: 1, chocolate: 0 } }, { id: 2, ...","['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",TroubleMaker,0,0,5,2022-11-26 12:14:54Z,https://stackoverflow.com/questions/74582073/how-to-filter-array-of-objects-with-criteria-with-javascript
1,74582072,Vega Transform to add column for total calculated from sum of values from another column,I have a dataset where each row represents a medal won in a certain state for a contest and I am trying to transform it to make a stacked bar chart. It is easy enough to transform the dataset using an ...,"['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",Nick5741,0,0,2,2022-11-26 12:14:47Z,https://stackoverflow.com/questions/74582072/vega-transform-to-add-column-for-total-calculated-from-sum-of-values-from-anothe
2,74582070,How to cast object returned from Module,"I trying ModuleLayer with JDK 11, I have created two modules Implementation and Model. Consider the Implementation module provides a method which returns an object which is of type Foo, the class Foo ...","['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",Amogh,0,0,3,2022-11-26 12:14:31Z,https://stackoverflow.com/questions/74582070/how-to-cast-object-returned-from-module
3,74582067,Merge or rebase a feature branch?,"I understand the differences (I think) between a merge (apply all the changes on a branch to the current branch in a single commit, keeps the history clean) and a rebase (rewrite the current branch ...","['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",Ruben Hart,0,0,2,2022-11-26 12:14:21Z,https://stackoverflow.com/questions/74582067/merge-or-rebase-a-feature-branch
4,74582066,why the function giving ans 0,int get_fact(int N) { int fact=1; while(N--) { fact=fact*N; } return fact; } why it is giving ans zero?? Tried to have the factorial of N. here while loop used.but somehow 0 is multiplicatd. ...,"['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",Mostafezur Rahman,0,0,3,2022-11-26 12:14:07Z,https://stackoverflow.com/questions/74582066/why-the-function-giving-ans-0
5,74582064,How to change react element but not the url,"So i have nested route and I have one element with <Outlet/> in that element, what I want to achieve is when i navigate to another route I want the URL to not change but the element inside <...","['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",Ade Rafif,0,0,5,2022-11-26 12:13:34Z,https://stackoverflow.com/questions/74582064/how-to-change-react-element-but-not-the-url
6,74582063,Detect when a real change happened in a vector in R,"I have this data (original data has more rows) below : structure(list(ID = 1:41, X1 = c(1921498, 2519663, 2519663, 107388, 2519663, 52211, 2519663, 62831, 62831, 62831, 62831, 62831, 62831, 62831, ...","['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",Auronus Ben,0,0,6,2022-11-26 12:13:30Z,https://stackoverflow.com/questions/74582063/detect-when-a-real-change-happened-in-a-vector-in-r
7,74582059,Blazor Identity show manage user profile pages within an existing page,"I added the Identity to my existing Blazor App using scaffolding. I've created my own drop-down control to allow users to access their profile or logout, which redirects to the corresponding pages ...","['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",neggenbe,0,0,4,2022-11-26 12:13:14Z,https://stackoverflow.com/questions/74582059/blazor-identity-show-manage-user-profile-pages-within-an-existing-page
8,74582057,Not able to select using webscaper in Inspect,"I want to scrape a data from a website using webscaper. But when I am trying using select option, a big dot appears that only helps in scrolling down the website instead of selecting. I am able to ...","['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",HimaniBali,0,0,4,2022-11-26 12:12:49Z,https://stackoverflow.com/questions/74582057/not-able-to-select-using-webscaper-in-inspect
9,74582055,how to say incorrrect password when you click a react login button made with tailwind and it says wrong password no matter what you type in password,"i dont know how to make it say something onclick using react and tailwind, here is the code: <div className=""ml-4 m-auto""> &...","['javascript', 'javascript', 'visualization', 'vega-lite', 'vega', 'java', 'git', 'version-control', 'git-merge', 'rebase', 'git-rebase', 'c', 'while-loop', 'reactjs', 'react-router-dom', 'r', 'blazor', 'asp.net-identity', 'web', 'web-scraping', 'select', 'inspect', 'reactjs', 'onclick', 'ios', 'swift', 'macos', 'swiftui', 'node.js', 'linux', 'bash', 'docker', 'ubuntu', 'path', 'python', 'nltk', 'cluster-analysis', 'k-means', 'vue.js', 'flask', 'vuejs3', 'vite']",Gameboy V,0,0,4,2022-11-26 12:12:27Z,https://stackoverflow.com/questions/74582055/how-to-say-incorrrect-password-when-you-click-a-react-login-button-made-with-tai
